Group,Title,Movie Year,Movie Length (minutes),IMDB ranking,Book Year,Book length (words),Movie Length (seconds),Words in book per second of movie,Wikipedia best sellers?
Twilight,Twilight: New Moon,2009,130,4.5,2006,"132,758",7800,17.02025641,y
,A Tale of Two Cities,1935,128,7.7,1859,"135,420",7680,17.6328125,y
,Angels and Demons,2009,138,6.6,2000,"148,768",8280,17.96714976,y
Harry Potter,Harry Potter and the Half-Blood Prince,2009,153,7.4,2005,"169,441",9180,18.45762527,y
,A Tale of Two Cities,1958,117,7,1859,"135,420",7020,19.29059829,y
,The Adventures of Huckleberry Finn,1939,91,6.9,1885,"105,590",5460,19.33882784,y
Twilight,Twilight: Eclipse,2010,124,4.8,2007,"148,971",7440,20.02298387,y
Harry Potter,Harry Potter and the Goblet of Fire,2005,157,7.6,2000,"190,858",9420,20.26093418,y
,Anne of Green Gables,1934,78,6.9,1908,"97,364",4680,20.8042735,y
,The Grapes of Wrath,1940,129,8.2,1939,"169,481",7740,21.89677003,y
,Dune,1984,137,6.5,1965,"181,493",8220,22.07944039,y
,Catch-22,1970,122,7.1,1961,"174,269",7320,23.80724044,y
,Watership Down,1978,101,7.6,1972,"156,154",6060,25.7679868,y
,Gone with the Wind,1939,238,8.2,1936,"418,053",14280,29.27542017,y
Harry Potter,Harry Potter and the Order of the Phoenix,2007,138,7.4,2003,"257,154",8280,31.05724638,y
